"Molecule
","Market
","Manufacturer
","Product
","Molecule Combination Type
","Launch Year
","Corporation
","MIDAS Corporation
","Strength
","ATC1
","ATC2
","ATC4
","ATC3
","Pack
","Launch Date
","Retail Price
","NFC1
","NFC3
","NFC2
","2025
LC Value","2025
Units","2024
LC Value","2024
Units","2023
LC Value","2023
Units","2022
LC Value","2022
Units","2021
LC Value","2021
Units","2020
LC Value","2020
Units"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
NAPP LABS
","
BETADINE
","
COMBI
","
2023
","
MUNDIPHARMA*
","
MUNDIPHARMA INT
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZ MEN&EUC 24
","
202301
","
21.15
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","335,439","15,860","799,448","37,799","947,416","44,795",,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
0000
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZ LEM/HONE 24
","
UNKNOWN
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","1,384,070","82,631","2,675,428","159,727","6,177,368","368,798","6,312,206","376,848","3,079,690","183,862","806,346","48,140"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
0000
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS MENTHOL 24
","
UNKNOWN
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","501,027","29,912","905,324","54,049","2,674,071","159,646","1,783,308","106,466","1,062,488","63,432","227,181","13,563"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
1999
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS S/F ASS 16
","
199906
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","587,574","35,079","1,037,279","61,927","2,251,619","134,425","2,091,794","124,883","1,171,597","69,946","334,616","19,977"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
2011
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS COOL 16
","
201109
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","219,946","13,131","521,061","31,108","1,396,650","83,382","1,173,775","70,076","555,447","33,161","171,989","10,268"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS C
","
COMBI
","
1986
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 24
","
198601
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","589,719","35,207","1,072,907","64,054","2,696,752","161,000","3,221,629","192,336","1,596,528","95,315","392,822","23,452"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS ME H&L
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
201705
","
27.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","686,703","24,746","1,499,999","54,054","3,197,356","115,220","2,922,603","105,319","1,135,255","40,910","248,834","8,967"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS ME LEMSF
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
201705
","
27.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","396,798","14,299","811,690","29,250","1,776,667","64,024","1,526,167","54,997","746,447","26,899","107,308","3,867"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS ME STBN
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
201705
","
28.00
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","399,560","14,270","1,190,924","42,533","1,768,060","63,145","1,481,116","52,897","800,520","28,590","61,964","2,213"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS ME VIT C
","
COMBI
","
2020
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
202003
","
26.18
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","281,699","10,760","565,540","21,602","1,451,473","55,442","1,028,821","39,298","539,230","20,597","96,918","3,702"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
RECKITT BENCKISER
","
STREPSILS ME WARM
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 16
","
201707
","
18.47
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","633,539","34,301","1,155,668","62,570","2,465,375","133,480","1,734,148","93,890","1,136,478","61,531","348,475","18,867"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
SPASO
","
JOYSILS
","
COMBI
","
2024
","
SPASO*
","
SPASO
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
GNG&LMN LZG 24
","
202409
","
24.00
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","44,520","1,855","126,792","5,283","270,792","11,283",,,,,,
